date,raw symbol,entry1,entry2,entry3,symbol,Allocated,Quality,exchange
13-Jun,nse:agarind,963,945,915,AGARIND,30000,OK,NSE
1-Aug,AWFIS,579,570,562,AWFIS,1,Good,NSE
23-Jun,AZAD,1505,1450,1396,AZAD,1,Good,NSE
1-Jul,BBL,2972,2950,2855,BBL,1,OK,NSE
23-Jun,BMW,48,47,46,BMW,1,Excellent,BSE
5-May,BODALCHEM,65,60,55,BODALCHEM,1,Good,NSE
2-Jun,CAPITALSFB,282,272,255,CAPITALSFB,1,Excellent,NSE
21-Jul,centralbk,38,37,36,CENTRALBK,1,Good,NSE
2-Jun,CMSINFO,465,455,430,CMSINFO,1,Good,NSE
2-Jun,COALINDIA,395,390,383,COALINDIA,1,Excellent,NSE
10-Jul,DEEDEV,295,288,283.5,DEEDEV,1,Good,NSE
2-Jun,FINPIPE,217,209,198,FINPIPE,1,Good,NSE
1-Aug,fivestar,590,580,565,FIVESTAR,1,Good,NSE
1-Jul,GOACARBON,493,485,470,GOACARBON,1,Bad,BSE
1-Jul,GULFOILLUB,1150,1055,998,GULFOILLUB,1,Excellent,NSE
23-Jun,IGIL,363,353,343,IGIL,1,OK,NSE
2-Jun,IGPL,435,410,400,IGPL,1,Good,NSE
8-Jul,INDUSTOWER,377,365,355,INDUSTOWER,1,Excellent,NSE
1-Jul,INOXWIND,175.3,169,165,INOXWIND,1,Excellent,NSE
23-Jun,IRCTC,778,765,750,IRCTC,1,Good,NSE
1-Jul,IRFC,116,110,105,IRFC,1,OK,NSE
2-Jul,ITC,415,409,395,ITC,1,Excellent,BSE
1-Jul,ITDC,600,575,570,ITDC,1,Good,NSE
1-Aug,Jindalsaw,209,205,200.5,JINDALSAW,1,Excellent,NSE
22-Jul,JSWenergy,530,510,490,JSWENERGY,1,Bad,NSE
2-Jul,KPL,990,970,955,KPL,1,Excellent,BSE
23-Jun,LODHA,1375,1299,1250,LODHA,1,Good,NSE
1-Jul,LUXIND,1446,1425,1390,LUXIND,1,Good,NSE
1-Aug,Lxchem,195,190,185,LXCHEM,1,OK,NSE
14-May,M&MFIN,253,248,243,M&MFIN,1,OK,NSE
1-Jul,NAHARINDUS,123,123,118,NAHARINDUS,1,OK,BSE
22-May,NCC,230.55,223.45,215.75,NCC,1,Good,NSE
1-Aug,ONGC,239.5,235,228,ONGC,1,OK,NSE
1-Jul,PERSISTENT,5605,5400,5240,PERSISTENT,1,Good,NSE
1-Aug,PFC,401,393,385,PFC,1,Good,NSE
1-Aug,pncinfra,298,292,282,PNCINFRA,1,Good,NSE
1-Aug,Polyplex,1092,1075,1045,POLYPLEX,30000,Excellent,NSE
28-Jul,PPLPHARMA,195,190,185,PPLPHARMA,1,Good,NSE
10-Jul,PRICOLLTD,456.2,445,430.55,PRICOLLTD,1,OK,NSE
3-Jun,RPGLIFE,2151,2110,2075,RPGLIFE,1,Good,NSE
7-Jul,SARDAEN,426,,,SARDAEN,1,Good,NSE
1-Aug,shaily,1582,1550,1500,SHAILY,1,Good,NSE
8-Jul,SOLARINDS,16050,15500,15000,SOLARINDS,1,Excellent,NSE
1-Jul,STERTOOLS,345,331,325,STERTOOLS,1,Good,NSE
7-May,SYRMA,505,450,400,SYRMA,1,Excellent,NSE
23-Jun,TATAMOTORS,660,635,600,TATAMOTORS,1,Good,NSE
23-Jun,TATATECH,700,690,680,TATATECH,1,Good,NSE
10-Jul,TCS,3350,,,TCS,1,Good,NSE
1-Aug,TORNTPOWER,1305,1280,1255,TORNTPOWER,1,Excellent,NSE
3-Jun,VBL,473,460,425,VBL,1,OK,NSE
2-Jun,WELSPUNLIV,118,112,108,WELSPUNLIV,1,Good,NSE
22-May,WIPRO,247,240,235,WIPRO,1,Good,NSE
1-Aug,Zaggle,375,367,359,ZAGGLE,1,Good,NSE
1-Aug,SAIL,375,367,359,SAIL,1,Good,NSE
